Depth      CNPOR        DPOR         GR         RHOB        RHOC        RILD        RILM        RLL3       RxoRt         SP         SSD         DCAL        ABHV         DT         ITT        MEL15       MEL20       MELCAL       SPOR        TBHV    
    41.5000     33.7811     41.3521     44.1711      2.0029     -0.7092     24.8502 100000.0000      0.2998    172.6596    129.2696    409.5475   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    42.0000     31.6057     42.1158     42.4162      1.9898     -0.7172     25.3717 100000.0000      0.2762    176.6846    127.2732    406.3930   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    42.5000     29.5697     44.6540     45.8684      1.9464     -0.7399     25.4024 100000.0000      0.2624    178.7344    124.7141    398.7374   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    43.0000     28.5111     46.5318     40.9126      1.9143     -0.7581     25.2927 100000.0000      0.2605    178.8435    122.7006    392.2411   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    43.5000     31.5610     45.4887     34.9430      1.9321     -0.7501     25.3111 100000.0000      0.2566    179.4650    121.9304    394.3805   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    44.0000     33.8379     42.9263     35.0339      1.9760     -0.7254     25.2004 100000.0000      0.2511    180.1431    122.1306    403.2106   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    44.5000     34.3557     42.3280     33.6998      1.9862     -0.7126     25.3770 100000.0000      0.2486    180.8014    122.5651    410.3980   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    45.0000     34.0328     44.3815     31.5479      1.9511     -0.7201     25.1213 100000.0000      0.2484    180.4402    122.7054    411.9852   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    45.5000     30.6338     47.0678     33.0249      1.9051     -0.7374     24.2849 100000.0000      0.2486    179.0865    122.4654    408.6852   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    46.0000     29.1462     49.0879     34.6394      1.8706     -0.7647     24.3285 100000.0000      0.2467    179.4628    122.0709    396.0512   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    46.5000     32.1113     50.0140     42.3827      1.8548     -0.8123     29.3548 100000.0000      0.2426    187.4456    121.8080    366.8677   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    47.0000     35.0016     48.6564     56.0118      1.8780     -0.8622     33.4189 100000.0000      0.2385    193.1841    121.8585    332.1055   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    47.5000     34.8439     44.3793     63.9127      1.9511     -0.8630     28.5280 100000.0000      0.2380    187.0855    122.2514    320.0248   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    48.0000     32.8680     41.5097     62.2757      2.0002     -0.8189     23.3733 100000.0000      0.2394    179.0649    122.8530    337.7888   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    48.5000     34.1270     44.1786     63.1620      1.9545     -0.7938     21.9862 100000.0000      0.2350    177.3954    123.4498    361.0439   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    49.0000     37.9562     49.6463     56.8334      1.8610     -0.8046     21.5936 100000.0000      0.2342    176.8327    123.9545    370.7600   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    49.5000     37.4088     54.0169     45.8721      1.7863     -0.8278     21.3905 100000.0000      0.2318    176.8613    124.4642    369.1192   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    50.0000     32.8301     56.0899     49.9250      1.7509     -0.8460     21.0983 100000.0000      0.2296    176.6865    125.0534    363.6869   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    50.5000     31.8865     56.2941     61.1759      1.7474     -0.8548     20.6327 100000.0000      0.2290    175.9206    125.6264    358.6529   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    51.0000     32.8898     55.3302     65.8599      1.7639     -0.8552     20.5242 100000.0000      0.2292    175.6811    126.0022    355.5174   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
